Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2018,2018,2018,6,1,1,Import,68,Bolivia (Plurinational State of),BOL,0,World,WLD,,,,,,,,391520,"Styrene polymers; waste, parings and scrap",8,Weight in kilograms,,,59,,60,,680,,,0
H5,2018,2018,2018,6,1,1,Import,60,Bermuda,BMU,0,World,WLD,,,,,,,,391530,"Vinyl chloride polymers; waste, parings and scrap",8,Weight in kilograms,,,30,,30,,1204,,,0
H5,2018,2018,2018,6,1,1,Import,60,Bermuda,BMU,0,World,WLD,,,,,,,,391590,"Plastics n.e.c. in heading no. 3915; waste, parings and scrap",8,Weight in kilograms,,,77,,77,,785,,,0
H5,2018,2018,2018,6,1,2,Export,60,Bermuda,BMU,0,World,WLD,,,,,,,,391590,"Plastics n.e.c. in heading no. 3915; waste, parings and scrap",8,Weight in kilograms,,,1,,1,,50,,,0
H5,2018,2018,2018,6,1,1,Import,68,Bolivia (Plurinational State of),BOL,0,World,WLD,,,,,,,,391590,"Plastics n.e.c. in heading no. 3915; waste, parings and scrap",8,Weight in kilograms,,,174533,,174826,,69548,,,0
H5,2018,2018,2018,6,1,2,Export,68,Bolivia (Plurinational State of),BOL,0,World,WLD,,,,,,,,391590,"Plastics n.e.c. in heading no. 3915; waste, parings and scrap",8,Weight in kilograms,,,84400,,84400,,38294,,,0
H5,2018,2018,2018,4,0,1,Import,84,Belize,BLZ,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,,,156332,,156332,,59423,,,0
H5,2018,2018,2018,4,0,2,Export,84,Belize,BLZ,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,,,466169,,466169,,87791,,,0
H5,2018,2018,2018,4,0,3,Re-Export,84,Belize,BLZ,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,,,37800,,37800,,2219,,,0
H5,2018,2018,2018,4,0,1,Import,96,Brunei Darussalam,BRN,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,,,124762,,124762,,261725,,,6
H5,2018,2018,2018,4,0,2,Export,96,Brunei Darussalam,BRN,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,,,355795,,355795,,69525,,,0
H5,2018,2018,2018,4,0,3,Re-Export,96,Brunei Darussalam,BRN,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,,,333795,,333795,,59373,,,0
H5,2018,2018,2018,6,1,1,Import,84,Belize,BLZ,0,World,WLD,,,,,,,,391510,"Ethylene polymers; waste, parings and scrap",8,Weight in kilograms,,,78896,,78896,,29212,,,0
H5,2018,2018,2018,6,1,2,Export,84,Belize,BLZ,0,World,WLD,,,,,,,,391510,"Ethylene polymers; waste, parings and scrap",8,Weight in kilograms,,,354386,,354386,,77853,,,0
H5,2018,2018,2018,6,1,2,Export,84,Belize,BLZ,0,World,WLD,,,,,,,,391520,"Styrene polymers; waste, parings and scrap",8,Weight in kilograms,,,107,,107,,1,,,0
H5,2018,2018,2018,6,1,2,Export,96,Brunei Darussalam,BRN,0,World,WLD,,,,,,,,391520,"Styrene polymers; waste, parings and scrap",8,Weight in kilograms,,,30000,,30000,,5927,,,0
H5,2018,2018,2018,6,1,3,Re-Export,96,Brunei Darussalam,BRN,0,World,WLD,,,,,,,,391520,"Styrene polymers; waste, parings and scrap",8,Weight in kilograms,,,30000,,30000,,5927,,,0
H5,2018,2018,2018,6,1,1,Import,84,Belize,BLZ,0,World,WLD,,,,,,,,391530,"Vinyl chloride polymers; waste, parings and scrap",8,Weight in kilograms,,,77344,,77344,,29263,,,0
H5,2018,2018,2018,6,1,2,Export,84,Belize,BLZ,0,World,WLD,,,,,,,,391530,"Vinyl chloride polymers; waste, parings and scrap",8,Weight in kilograms,,,11000,,11000,,1109,,,0
H5,2018,2018,2018,6,1,3,Re-Export,84,Belize,BLZ,0,World,WLD,,,,,,,,391530,"Vinyl chloride polymers; waste, parings and scrap",8,Weight in kilograms,,,11000,,11000,,1109,,,0
H5,2018,2018,2018,6,1,1,Import,96,Brunei Darussalam,BRN,0,World,WLD,,,,,,,,391530,"Vinyl chloride polymers; waste, parings and scrap",8,Weight in kilograms,,,220,,220,,23614,,,0
H5,2018,2018,2018,6,1,1,Import,84,Belize,BLZ,0,World,WLD,,,,,,,,391590,"Plastics n.e.c. in heading no. 3915; waste, parings and scrap",8,Weight in kilograms,,,92,,92,,947,,,0
H5,2018,2018,2018,6,1,2,Export,84,Belize,BLZ,0,World,WLD,,,,,,,,391590,"Plastics n.e.c. in heading no. 3915; waste, parings and scrap",8,Weight in kilograms,,,100675,,100675,,8826,,,0
H5,2018,2018,2018,6,1,3,Re-Export,84,Belize,BLZ,0,World,WLD,,,,,,,,391590,"Plastics n.e.c. in heading no. 3915; waste, parings and scrap",8,Weight in kilograms,,,26800,,26800,,1109,,,0
H5,2018,2018,2018,6,1,1,Import,96,Brunei Darussalam,BRN,0,World,WLD,,,,,,,,391590,"Plastics n.e.c. in heading no. 3915; waste, parings and scrap",8,Weight in kilograms,,,124542,,124542,,238111,,,6
H5,2018,2018,2018,6,1,2,Export,96,Brunei Darussalam,BRN,0,World,WLD,,,,,,,,391590,"Plastics n.e.c. in heading no. 3915; waste, parings and scrap",8,Weight in kilograms,,,325795,,325795,,63597,,,0
H5,2018,2018,2018,6,1,3,Re-Export,96,Brunei Darussalam,BRN,0,World,WLD,,,,,,,,391590,"Plastics n.e.c. in heading no. 3915; waste, parings and scrap",8,Weight in kilograms,,,303795,,303795,,53445,,,0
H5,2018,2018,2018,4,0,1,Import,112,Belarus,BLR,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,,,4943936,,4943936,,2987100,,,0
H5,2018,2018,2018,4,0,2,Export,112,Belarus,BLR,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,,,9387228,,9387228,,4080800,,,0
H5,2018,2018,2018,6,1,1,Import,112,Belarus,BLR,0,World,WLD,,,,,,,,391510,"Ethylene polymers; waste, parings and scrap",8,Weight in kilograms,,,2096854,,2096854,,917800,,,0
H5,2018,2018,2018,6,1,2,Export,112,Belarus,BLR,0,World,WLD,,,,,,,,391510,"Ethylene polymers; waste, parings and scrap",8,Weight in kilograms,,,6179203,,6179203,,2609200,,,0
H5,2018,2018,2018,6,1,1,Import,112,Belarus,BLR,0,World,WLD,,,,,,,,391520,"Styrene polymers; waste, parings and scrap",8,Weight in kilograms,,,929788,,929788,,1152500,,,0
H5,2018,2018,2018,6,1,2,Export,112,Belarus,BLR,0,World,WLD,,,,,,,,391520,"Styrene polymers; waste, parings and scrap",8,Weight in kilograms,,,648775,,648775,,392400,,,0
H5,2018,2018,2018,6,1,1,Import,112,Belarus,BLR,0,World,WLD,,,,,,,,391530,"Vinyl chloride polymers; waste, parings and scrap",8,Weight in kilograms,,,1080020,,1080020,,584900,,,0
H5,2018,2018,2018,6,1,2,Export,112,Belarus,BLR,0,World,WLD,,,,,,,,391530,"Vinyl chloride polymers; waste, parings and scrap",8,Weight in kilograms,,,546603,,546603,,237500,,,0
H5,2018,2018,2018,6,1,1,Import,112,Belarus,BLR,0,World,WLD,,,,,,,,391590,"Plastics n.e.c. in heading no. 3915; waste, parings and scrap",8,Weight in kilograms,,,837274,,837274,,331900,,,0
H5,2018,2018,2018,6,1,2,Export,112,Belarus,BLR,0,World,WLD,,,,,,,,391590,"Plastics n.e.c. in heading no. 3915; waste, parings and scrap",8,Weight in kilograms,,,2012647,,2012647,,841700,,,0
H5,2018,2018,2018,4,0,1,Import,124,Canada,CAN,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,,,140933420,,140933420,,73526049,,,0
H5,2018,2018,2018,4,0,2,Export,124,Canada,CAN,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,,,158039164,,158039164,,71429691,,,0
H5,2018,2018,2018,4,0,3,Re-Export,124,Canada,CAN,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,,,876186,,876186,,675440,,,0
H5,2018,2018,2018,4,0,4,Re-Import,124,Canada,CAN,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,,,313123,,313123,,85677,,,0
H5,2018,2018,2018,6,1,1,Import,124,Canada,CAN,0,World,WLD,,,,,,,,391510,"Ethylene polymers; waste, parings and scrap",8,Weight in kilograms,,,31479196,,31479196,,14373294,,,0
H5,2018,2018,2018,6,1,2,Export,124,Canada,CAN,0,World,WLD,,,,,,,,391510,"Ethylene polymers; waste, parings and scrap",8,Weight in kilograms,,,44857694,,44857694,,21239691,,,0
H5,2018,2018,2018,6,1,3,Re-Export,124,Canada,CAN,0,World,WLD,,,,,,,,391510,"Ethylene polymers; waste, parings and scrap",8,Weight in kilograms,,,49320,,49320,,112608,,,0
H5,2018,2018,2018,6,1,4,Re-Import,124,Canada,CAN,0,World,WLD,,,,,,,,391510,"Ethylene polymers; waste, parings and scrap",8,Weight in kilograms,,,41150,,41150,,11815,,,0
H5,2018,2018,2018,6,1,1,Import,124,Canada,CAN,0,World,WLD,,,,,,,,391520,"Styrene polymers; waste, parings and scrap",8,Weight in kilograms,,,8982320,,8982320,,10048512,,,0
H5,2018,2018,2018,6,1,2,Export,124,Canada,CAN,0,World,WLD,,,,,,,,391520,"Styrene polymers; waste, parings and scrap",8,Weight in kilograms,,,1398517,,1398517,,1102255,,,0
H5,2018,2018,2018,6,1,3,Re-Export,124,Canada,CAN,0,World,WLD,,,,,,,,391520,"Styrene polymers; waste, parings and scrap",8,Weight in kilograms,,,13405,,13405,,4002,,,0
H5,2018,2018,2018,6,1,4,Re-Import,124,Canada,CAN,0,World,WLD,,,,,,,,391520,"Styrene polymers; waste, parings and scrap",8,Weight in kilograms,,,1668,,1668,,516,,,0
H5,2018,2018,2018,6,1,1,Import,124,Canada,CAN,0,World,WLD,,,,,,,,391530,"Vinyl chloride polymers; waste, parings and scrap",8,Weight in kilograms,,,4050241,,4050241,,1747831,,,0
H5,2018,2018,2018,6,1,2,Export,124,Canada,CAN,0,World,WLD,,,,,,,,391530,"Vinyl chloride polymers; waste, parings and scrap",8,Weight in kilograms,,,9916052,,9916052,,3594514,,,0
H5,2018,2018,2018,6,1,4,Re-Import,124,Canada,CAN,0,World,WLD,,,,,,,,391530,"Vinyl chloride polymers; waste, parings and scrap",8,Weight in kilograms,,,18359,,18359,,12084,,,0
H5,2018,2018,2018,6,1,1,Import,124,Canada,CAN,0,World,WLD,,,,,,,,391590,"Plastics n.e.c. in heading no. 3915; waste, parings and scrap",8,Weight in kilograms,,,96421663,,96421663,,47356410,,,0
H5,2018,2018,2018,6,1,2,Export,124,Canada,CAN,0,World,WLD,,,,,,,,391590,"Plastics n.e.c. in heading no. 3915; waste, parings and scrap",8,Weight in kilograms,,,101866901,,101866901,,45493229,,,0
H5,2018,2018,2018,6,1,3,Re-Export,124,Canada,CAN,0,World,WLD,,,,,,,,391590,"Plastics n.e.c. in heading no. 3915; waste, parings and scrap",8,Weight in kilograms,,,813461,,813461,,558829,,,0
H5,2018,2018,2018,6,1,4,Re-Import,124,Canada,CAN,0,World,WLD,,,,,,,,391590,"Plastics n.e.c. in heading no. 3915; waste, parings and scrap",8,Weight in kilograms,,,251946,,251946,,61260,,,0
H5,2018,2018,2018,4,0,1,Import,152,Chile,CHL,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,,,7746473,,7746473,,6638554,,,6
H5,2018,2018,2018,4,0,2,Export,152,Chile,CHL,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,,,9102029,,9102029,,3317187,,,6
H5,2018,2018,2018,6,1,1,Import,152,Chile,CHL,0,World,WLD,,,,,,,,391510,"Ethylene polymers; waste, parings and scrap",1,No Quantity,,,0,,1487062,,1280073,,,6
H5,2018,2018,2018,6,1,2,Export,152,Chile,CHL,0,World,WLD,,,,,,,,391510,"Ethylene polymers; waste, parings and scrap",8,Weight in kilograms,,,5406754,,5406754,,1868643,,,6
H5,2018,2018,2018,6,1,1,Import,152,Chile,CHL,0,World,WLD,,,,,,,,391520,"Styrene polymers; waste, parings and scrap",8,Weight in kilograms,,,1,,1,,201,,,0
H5,2018,2018,2018,6,1,2,Export,152,Chile,CHL,0,World,WLD,,,,,,,,391520,"Styrene polymers; waste, parings and scrap",8,Weight in kilograms,,,784850,,784850,,491013,,,6
H5,2018,2018,2018,6,1,2,Export,152,Chile,CHL,0,World,WLD,,,,,,,,391530,"Vinyl chloride polymers; waste, parings and scrap",8,Weight in kilograms,,,19480,,19480,,531,,,0
H5,2018,2018,2018,6,1,1,Import,152,Chile,CHL,0,World,WLD,,,,,,,,391590,"Plastics n.e.c. in heading no. 3915; waste, parings and scrap",8,Weight in kilograms,,,6259409,,6259409,,5358279,,,0
H5,2018,2018,2018,6,1,2,Export,152,Chile,CHL,0,World,WLD,,,,,,,,391590,"Plastics n.e.c. in heading no. 3915; waste, parings and scrap",8,Weight in kilograms,,,2890944,,2890944,,956999,,,6
H5,2018,2018,2018,4,0,1,Import,170,Colombia,COL,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,,,8209967,,8209967,,1553112,,,0
H5,2018,2018,2018,4,0,2,Export,170,Colombia,COL,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,,,2592857,,2592857,,1008547,,,0
H5,2018,2018,2018,6,1,1,Import,170,Colombia,COL,0,World,WLD,,,,,,,,391510,"Ethylene polymers; waste, parings and scrap",8,Weight in kilograms,,,4614886,,4614886,,539727,,,0
H5,2018,2018,2018,6,1,2,Export,170,Colombia,COL,0,World,WLD,,,,,,,,391510,"Ethylene polymers; waste, parings and scrap",8,Weight in kilograms,,,1206442,,1206442,,241622,,,0
H5,2018,2018,2018,6,1,1,Import,170,Colombia,COL,0,World,WLD,,,,,,,,391520,"Styrene polymers; waste, parings and scrap",8,Weight in kilograms,,,529766,,529766,,336785,,,0
H5,2018,2018,2018,6,1,2,Export,170,Colombia,COL,0,World,WLD,,,,,,,,391520,"Styrene polymers; waste, parings and scrap",8,Weight in kilograms,,,396865,,396865,,326539,,,0
H5,2018,2018,2018,6,1,1,Import,170,Colombia,COL,0,World,WLD,,,,,,,,391530,"Vinyl chloride polymers; waste, parings and scrap",8,Weight in kilograms,,,1325548,,1325548,,211189,,,0
H5,2018,2018,2018,6,1,2,Export,170,Colombia,COL,0,World,WLD,,,,,,,,391530,"Vinyl chloride polymers; waste, parings and scrap",8,Weight in kilograms,,,70860,,70860,,52681,,,0
H5,2018,2018,2018,6,1,1,Import,170,Colombia,COL,0,World,WLD,,,,,,,,391590,"Plastics n.e.c. in heading no. 3915; waste, parings and scrap",8,Weight in kilograms,,,1739766,,1739766,,465409,,,0
H5,2018,2018,2018,6,1,2,Export,170,Colombia,COL,0,World,WLD,,,,,,,,391590,"Plastics n.e.c. in heading no. 3915; waste, parings and scrap",8,Weight in kilograms,,,918689,,918689,,387703,,,0
H5,2018,2018,2018,4,0,1,Import,191,Croatia,HRV,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,,,22318236,,22318236,,5871386,,,6
H5,2018,2018,2018,4,0,2,Export,191,Croatia,HRV,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,,,21657287,,21657287,,7081616,,,0
H5,2018,2018,2018,6,1,1,Import,191,Croatia,HRV,0,World,WLD,,,,,,,,391510,"Ethylene polymers; waste, parings and scrap",8,Weight in kilograms,,,10652852,,10652852,,2506286,,,0
H5,2018,2018,2018,6,1,2,Export,191,Croatia,HRV,0,World,WLD,,,,,,,,391510,"Ethylene polymers; waste, parings and scrap",8,Weight in kilograms,,,10688289,,10688289,,2878745,,,0
H5,2018,2018,2018,6,1,1,Import,191,Croatia,HRV,0,World,WLD,,,,,,,,391520,"Styrene polymers; waste, parings and scrap",8,Weight in kilograms,,,19260,,19260,,17717,,,0
H5,2018,2018,2018,6,1,2,Export,191,Croatia,HRV,0,World,WLD,,,,,,,,391520,"Styrene polymers; waste, parings and scrap",8,Weight in kilograms,,,1303696,,1303696,,808944,,,0
H5,2018,2018,2018,6,1,1,Import,191,Croatia,HRV,0,World,WLD,,,,,,,,391530,"Vinyl chloride polymers; waste, parings and scrap",8,Weight in kilograms,,,123650,,123650,,102601,,,0
