country,economic_status,coastal_population,waste_generation_rate_kg_person_day,percentage_plastic_in_waste_stream,percentage_inadequately_managed_waste,percent_littered_waste,waste_generation_kg_day,plastic_waste_generation_kg_day,inadequately_managed_plastic waste_kg_day,plastic_waste_littered_kg_day,mismanaged_plastic_waste_kg_person_day,mismanaged_plastic_waste_in_2010_tonnes,mismanaged_plastic_waste_in_2025_tonnes
Tuvalu,UMI,11563,1.20,12,73,2.0,13876,1658,1218,33,0.1082,457,861
Ukraine,LMI,6812799,0.79,13,49,2.0,5382111,696983,338841,13940,0.0518,128765,233388
United Arab Emirates,HIC,2018302,1.66,12,0,2.0,3350381,400371,256,8007,0.0041,3016,5910
United Kingdom,HIC,43258889,1.79,12,0,2.0,77433411,9253293,0,185066,0.0043,67549,94165
United States,HIC,112925034,2.58,13,0,2.0,291346588,37729383,0,754588,0.0067,275424,336819
Uruguay,HIC,2433597,2.10,12,8,2.0,5110554,610711,46861,12214,0.0243,21562,8037
USVI,HIC,134219,2.10,12,0,2.0,281860,33682,11,674,0.0051,250,296
Vanuatu,LMI,251851,3.28,9,81,2.0,826071,73933,60104,1479,0.2445,22478,38006
Venezuela,HIC,16094897,2.10,12,5,2.0,33799284,4039014,199585,80780,0.0174,102333,154243
Vietnam,LMI,55858245,0.79,13,86,2.0,44128014,5714578,4909870,114292,0.0899,1833819,4172828
Yemen,LMI,6048920,0.79,13,73,2.0,4778647,618835,451134,12377,0.0766,169181,513907
