,Country,Economic_status,Coastal_population,Waste_generation_rate_kg/person/day_All_Waste,%_Plastic_in_waste_stream,%_Inadequately_managed_waste,%_Littered_waste,Waste_generation_kg/day,Plastic_waste_generation_kg/day,Inadequately_managed_plastic_waste_kg/day,Plastic_waste_littered_[kg/day],Mismanaged_plastic_waste_kg/person/day,Mismanaged_plastic_waste_in_2010_tonnes,Mismanaged_plastic_waste_in_2025_tonnes,Lat,Lng
114,Monaco,HIC,34050.0,2.1,12.0,0.0,2.0,71505.0,8545.0,0.0,171.0,0.01,62.0,88.0,43.73841760000001,7.424615799999999
115,Montenegro,UMI,260336.0,1.2,12.0,30.0,2.0,312403.0,37332.0,11353.0,747.0,0.05,4416.0,7244.0,42.708678,19.37439
116,Montserrat,UMI,5173.0,1.2,12.0,12.0,2.0,6208.0,742.0,89.0,15.0,0.02,38.0,71.0,16.742498,-62.187366
117,Morocco,LMI,17303431.0,1.46,5.0,66.0,2.0,25263009.0,1250519.0,824650.0,25010.0,0.05,310126.0,706583.0,31.791702,-7.092619999999999
118,Mozambique,LI,9566559.0,0.14,11.0,84.0,2.0,1339318.0,146655.0,123081.0,2933.0,0.01,45995.0,287067.0,-18.665695,35.529562
119,Namibia,UMI,155084.0,1.2,12.0,66.0,2.0,186101.0,22239.0,14570.0,445.0,0.10,5480.0,11340.0,-22.95764,18.49041
120,Nauru,UMI,15289.0,1.2,12.0,67.0,2.0,18347.0,2192.0,1473.0,44.0,0.10,554.0,1043.0,-0.522778,166.931503
121,Netherlands,HIC,8971770.0,2.12,20.0,0.0,2.0,19020152.0,3794520.0,0.0,75890.0,0.01,27700.0,32387.0,52.132633,5.291265999999999
122,Netherlands Antilles,HIC,227165.0,2.1,12.0,0.0,2.0,477047.0,57007.0,0.0,1140.0,0.01,416.0,368.0,52.3763561,4.9245673
123,New Caledonia,HIC,257904.0,2.1,12.0,0.0,2.0,541598.0,64721.0,0.0,1294.0,0.01,472.0,702.0,-20.904305,165.618042
124,New Zealand,HIC,3862054.0,3.68,9.0,0.0,2.0,14212359.0,1272006.0,0.0,25440.0,0.01,9286.0,11517.0,-40.900557,174.885971
125,Nicaragua,LMI,3482653.0,1.1,13.0,45.0,2.0,3830918.0,496104.0,221353.0,9922.0,0.07,84415.0,169439.0,12.865416,-85.207229
126,Nigeria,LMI,27477112.0,0.79,13.0,81.0,2.0,21706918.0,2811046.0,2276636.0,56221.0,0.09,851493.0,2481008.0,9.081999,8.675277
127,Niue,HIC,1799.0,2.1,12.0,0.0,2.0,3778.0,451.0,1.0,9.0,0.01,4.0,5.0,-19.054445,-169.867233
128,Norfolk Island,LMI,2156.0,0.79,13.0,82.0,2.0,1703.0,221.0,182.0,4.0,0.09,68.0,156.0,-29.040835,167.954712
129,Northern Mariana Islands,HIC,106256.0,2.1,12.0,0.0,2.0,223138.0,26665.0,66.0,533.0,0.01,219.0,309.0,15.0979,145.6739
130,Norway,HIC,4131679.0,2.8,10.0,0.0,2.0,11568701.0,1151086.0,0.0,23022.0,0.01,8403.0,9798.0,60.47202399999999,8.468945999999999
131,Oman,HIC,2597556.0,0.7,12.0,4.0,2.0,1818289.0,217286.0,8416.0,4346.0,0.01,4658.0,11774.0,21.4735329,55.975413
132,Pakistan,LMI,14581952.0,0.79,13.0,86.0,2.0,11519742.0,1491807.0,1286583.0,29836.0,0.09,480493.0,1221460.0,30.375321,69.34511599999999
133,Palau,UMI,23446.0,1.2,12.0,56.0,2.0,28135.0,3362.0,1895.0,67.0,0.08,716.0,1350.0,7.514979999999999,134.58252
134,Palestine (Gaza Strip is only part on the coast),LMI,3045258.0,0.79,8.0,6.0,2.0,2405754.0,191257.0,11515.0,3825.0,0.01,5599.0,18676.0,31.3546763,34.3088255
135,Panama,UMI,3249531.0,1.21,12.0,18.0,2.0,3931933.0,469866.0,84815.0,9397.0,0.03,34388.0,70759.0,8.537981,-80.782127
136,Papua New Guinea,LMI,2747514.0,0.79,13.0,86.0,2.0,2170536.0,281084.0,240502.0,5622.0,0.09,89835.0,242328.0,-6.314992999999999,143.95555
137,Peru,UMI,13765608.0,1.2,12.0,25.0,2.0,16518730.0,1973988.0,493267.0,39480.0,0.04,194453.0,377111.0,-9.189967,-75.015152
138,Philippines,LMI,83446862.0,0.5,15.0,81.0,2.0,41723431.0,6237653.0,5035956.0,124753.0,0.06,1883659.0,5088394.0,12.879721,121.774017
139,Poland,UMI,3272933.0,0.88,11.0,12.0,2.0,2880181.0,315380.0,36715.0,6308.0,0.01,15703.0,26855.0,51.919438,19.145136
140,Portugal,HIC,8507951.0,2.21,12.0,0.0,2.0,18802572.0,2246907.0,0.0,44938.0,0.01,16402.0,19382.0,39.39987199999999,-8.224454
141,Puerto Rico,HIC,4249848.0,2.1,12.0,2.0,2.0,8924681.0,1066499.0,23923.0,21330.0,0.01,16517.0,20481.0,18.220833,-66.590149
142,Qatar,HIC,653007.0,1.33,12.0,0.0,2.0,868499.0,103786.0,0.0,2076.0,0.00,758.0,1560.0,25.354826,51.183884
143,Reunion,UMI,809426.0,1.2,12.0,0.0,2.0,971311.0,116072.0,0.0,2321.0,0.00,847.0,1615.0,-21.115141,55.536384
144,Romania,UMI,875170.0,1.04,4.0,26.0,2.0,910177.0,35952.0,9172.0,719.0,0.01,3610.0,8261.0,45.943161,24.96676
145,Russia,UMI,10812537.0,0.93,12.0,16.0,2.0,10055659.0,1201651.0,197226.0,24033.0,0.02,80759.0,128946.0,61.52401,105.318756
146,Saint Helena,UMI,6839.0,1.2,12.0,25.0,2.0,8207.0,981.0,244.0,20.0,0.04,96.0,182.0,-15.9650104,-5.7089241
147,Saint Kitts and Nevis,UMI,36102.0,5.45,12.0,6.0,2.0,196756.0,23512.0,1489.0,470.0,0.05,715.0,742.0,17.357822,-62.782998
148,Saint Lucia,UMI,163227.0,4.35,12.0,20.0,2.0,710037.0,84849.0,16683.0,1697.0,0.11,6709.0,8610.0,13.909444,-60.978893
149,"Saint Maarten, DWI",HIC,37429.0,2.1,12.0,0.0,2.0,78601.0,9393.0,3.0,188.0,0.01,70.0,98.0,18.04248,-63.05483
150,Saint Pierre,HIC,5888.0,2.1,12.0,0.0,2.0,12365.0,1478.0,0.0,30.0,0.01,11.0,15.0,46.7758459,-56.1806363
151,Saint Vincent and the Grenadines,UMI,120149.0,1.7,13.0,21.0,2.0,204253.0,26451.0,5621.0,529.0,0.05,2245.0,2996.0,12.984305,-61.287228
152,Samoa,LMI,168025.0,0.79,13.0,80.0,2.0,132740.0,17190.0,13688.0,344.0,0.08,5122.0,10989.0,-13.759029,-172.104629
153,Sao Tome and Principe,LMI,163740.0,0.79,13.0,81.0,2.0,129355.0,16751.0,13587.0,335.0,0.09,5081.0,13309.0,0.18636,6.613080999999999
154,Saudi Arabia,HIC,3593471.0,1.3,12.0,8.0,2.0,4671512.0,558246.0,45142.0,11165.0,0.02,20552.0,43855.0,23.885942,45.079162
155,Senegal,LMI,8125063.0,0.79,13.0,82.0,2.0,6418800.0,831235.0,681376.0,16625.0,0.09,254770.0,738264.0,14.497401,-14.452362
156,Seychelles,UMI,91361.0,2.98,12.0,37.0,2.0,272256.0,32535.0,12005.0,651.0,0.14,4619.0,5478.0,-4.679574,55.491977
157,Sierra Leone,LI,2887017.0,0.45,9.0,84.0,2.0,1299158.0,116275.0,97423.0,2325.0,0.04,36408.0,121312.0,8.460555,-11.779889
158,Singapore,HIC,4492494.0,1.49,13.0,0.0,2.0,6693816.0,866849.0,393.0,17337.0,0.00,6472.0,10878.0,1.352083,103.819836
159,Slovenia,HIC,336594.0,1.21,12.0,1.0,2.0,407279.0,48670.0,550.0,973.0,0.01,556.0,985.0,46.151241,14.995463
160,Solomon Islands,LMI,618678.0,0.79,13.0,86.0,2.0,488756.0,63294.0,54608.0,1266.0,0.09,20394.0,176589.0,-9.64571,160.156194
161,Somalia,LI,5971169.0,0.6,9.0,85.0,2.0,3582701.0,320652.0,271753.0,6413.0,0.05,101531.0,289601.0,5.152149,46.199616
162,South Africa,UMI,12899201.0,2.0,12.0,54.0,2.0,25798402.0,3082909.0,1664382.0,61658.0,0.13,630005.0,836279.0,-30.559482,22.937506
163,Spain,HIC,22771488.0,2.13,13.0,0.0,2.0,48503269.0,6281173.0,0.0,125623.0,0.01,45853.0,58932.0,40.46366700000001,-3.74922
164,Sri Lanka,LMI,14568174.0,5.1,7.0,82.0,2.0,74297687.0,5163689.0,4256120.0,103274.0,0.30,1591179.0,1918670.0,7.873053999999999,80.77179699999999
165,Sudan,LMI,752529.0,0.79,13.0,80.0,2.0,594498.0,76987.0,61277.0,1540.0,0.08,22928.0,52061.0,12.862807,30.217636
