Country,Economic_status,Coastal_population,Waste_generation_rate_kg/person/day_All_Waste,%_Plastic_in_waste_stream,%_Inadequately_managed_waste,%_Littered_waste,Waste_generation_kg/day,Plastic_waste_generation_kg/day,Inadequately_managed_plastic_waste_kg/day,Plastic_waste_littered_[kg/day],Mismanaged_plastic_waste_kg/person/day,Mismanaged_plastic_waste_in_2010_tonnes,Mismanaged_plastic_waste_in_2025_tonnes
Djibouti,LMI,621744.00,0.79,13.00,73.00,2.00,491178.00,63608.00,46191.00,1272.00,0.08,17324.00,45612.00
Dominica,UMI,70138.00,1.24,12.00,19.00,2.00,86971.00,10393.00,1938.00,208.00,0.03,783.00,1428.00
Dominican Republic,UMI,8232586.00,1.20,12.00,25.00,2.00,9879103.00,1180553.00,300295.00,23611.00,0.04,118226.00,228671.00
East Timor,LMI,668749.00,0.79,13.00,81.00,2.00,528312.00,68416.00,55316.00,1368.00,0.09,20690.00,64205.00
Ecuador,LMI,6400048.00,1.13,13.00,30.00,2.00,7232054.00,936551.00,280948.00,18731.00,0.05,109383.00,211021.00
Egypt,LMI,21750943.00,1.37,13.00,67.00,2.00,29798792.00,3858944.00,2572170.00,77179.00,0.12,967012.00,1937428.00
El Salvador,LMI,6410726.00,1.13,13.00,33.00,2.00,7244120.00,938114.00,306531.00,18762.00,0.05,118732.00,226860.00
Equatorial Guinea,UMI,351600.00,1.20,12.00,30.00,2.00,421920.00,50419.00,15367.00,1008.00,0.05,5977.00,14124.00
Eritrea,LI,1266222.00,0.50,9.00,77.00,2.00,633111.00,56663.00,43411.00,1133.00,0.04,16259.00,43484.00
Estonia,HIC,878021.00,1.47,12.00,9.00,2.00,1290691.00,154238.00,13296.00,3085.00,0.02,5979.00,8367.00
Falkland Islands,HIC,2602.00,2.10,12.00,0.00,2.00,5464.00,653.00,0.00,13.00,0.01,5.00,7.00
Faroe Islands,HIC,50554.00,2.10,12.00,0.00,2.00,106163.00,12687.00,0.00,254.00,0.01,93.00,131.00
Fiji,UMI,896145.00,2.10,9.00,78.00,2.00,1881905.00,168430.00,131582.00,3369.00,0.15,49257.00,70995.00
Finland,HIC,2927674.00,2.13,11.00,0.00,2.00,6235946.00,682836.00,0.00,13657.00,0.01,4985.00,6422.00
France,HIC,17287280.00,1.92,10.00,0.00,2.00,33191578.00,3302562.00,0.00,66051.00,0.00,24109.00,34671.00
French Guiana,UMI,167631.00,1.20,12.00,25.00,2.00,201157.00,24038.00,5986.00,481.00,0.04,2360.00,5577.00
French Polynesia,HIC,270618.00,2.10,12.00,3.00,2.00,568298.00,67912.00,2165.00,1358.00,0.01,1286.00,1824.00
Gabon,UMI,862328.00,0.45,12.00,34.00,2.00,388048.00,46372.00,15750.00,927.00,0.02,6087.00,15446.00
Georgia,LMI,1124249.00,1.69,4.00,51.00,2.00,1899981.00,75049.00,38149.00,1501.00,0.04,14472.00,24532.00
Germany,HIC,8837035.00,2.11,23.00,0.00,2.00,18646144.00,4279290.00,0.00,85586.00,0.01,31239.00,33317.00
Ghana,LMI,7727702.00,0.79,5.00,81.00,2.00,6104885.00,302192.00,244835.00,6044.00,0.03,91571.00,325116.00
Gibraltar,HIC,33483.00,2.10,12.00,0.00,2.00,70314.00,8403.00,9.00,168.00,0.01,65.00,92.00
Greece,HIC,9794702.00,2.00,10.00,0.00,2.00,19589404.00,1949146.00,0.00,38983.00,0.00,14229.00,18621.00
Greenland,HIC,57068.00,2.10,12.00,0.00,2.00,119843.00,14321.00,0.00,286.00,0.01,105.00,148.00
Grenada,UMI,96121.00,2.71,12.00,18.00,2.00,260488.00,31128.00,5536.00,623.00,0.06,2248.00,2452.00
Guadeloupe,UMI,466166.00,1.20,12.00,25.00,2.00,559399.00,66848.00,16646.00,1337.00,0.04,6564.00,11502.00
Guam,HIC,190809.00,2.10,12.00,0.00,2.00,400699.00,47884.00,118.00,958.00,0.01,393.00,574.00
Guatemala,LMI,2392442.00,2.00,14.00,36.00,2.00,4784884.00,667491.00,237508.00,13350.00,0.11,91563.00,157698.00
Guernsey,HIC,56289.00,2.10,12.00,0.00,2.00,118207.00,14126.00,0.00,283.00,0.01,103.00,146.00
Guinea,LI,1996496.00,0.60,5.00,84.00,2.00,1197898.00,59296.00,49538.00,1186.00,0.03,18514.00,59889.00
Guinea-Bissau,LI,1208106.00,0.60,9.00,83.00,2.00,724864.00,64875.00,54156.00,1298.00,0.05,20240.00,51947.00
Guyana,LMI,513235.00,5.33,11.00,36.00,2.00,2735543.00,299542.00,109084.00,5991.00,0.22,42002.00,36103.00
