Classification,Year,Period,Period_desc.,Aggregate Level,Trade_flow,Reporter_code,Reporter,Reporter_ISO,Partner_code,Commodity_code,Commodity,Qty_unit_code,Qty_unit,Qty,Alt_qty_unit,Netweight_kg,Trade_value_usd
H5,2018,2018,2018,6,Import,84,Belize,BLZ,0,391510,"Ethylene polymers; waste, parings and scrap",8,Weight in kilograms,,78896,78896,29212
H5,2018,2018,2018,6,Export,84,Belize,BLZ,0,391510,"Ethylene polymers; waste, parings and scrap",8,Weight in kilograms,,354386,354386,77853
H5,2018,2018,2018,6,Export,84,Belize,BLZ,0,391520,"Styrene polymers; waste, parings and scrap",8,Weight in kilograms,,107,107,1
H5,2018,2018,2018,6,Import,84,Belize,BLZ,0,391530,"Vinyl chloride polymers; waste, parings and scrap",8,Weight in kilograms,,77344,77344,29263
H5,2018,2018,2018,6,Export,84,Belize,BLZ,0,391530,"Vinyl chloride polymers; waste, parings and scrap",8,Weight in kilograms,,11000,11000,1109
H5,2018,2018,2018,6,Re-Export,84,Belize,BLZ,0,391530,"Vinyl chloride polymers; waste, parings and scrap",8,Weight in kilograms,,11000,11000,1109
H5,2018,2018,2018,6,Import,84,Belize,BLZ,0,391590,"Plastics n.e.c. in heading no. 3915; waste, parings and scrap",8,Weight in kilograms,,92,92,947
H5,2018,2018,2018,6,Export,84,Belize,BLZ,0,391590,"Plastics n.e.c. in heading no. 3915; waste, parings and scrap",8,Weight in kilograms,,100675,100675,8826
H5,2018,2018,2018,6,Re-Export,84,Belize,BLZ,0,391590,"Plastics n.e.c. in heading no. 3915; waste, parings and scrap",8,Weight in kilograms,,26800,26800,1109
H5,2018,2018,2018,4,Import,96,Brunei Darussalam,BRN,0,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,,124762,124762,261725
H5,2018,2018,2018,4,Export,96,Brunei Darussalam,BRN,0,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,,355795,355795,69525
H5,2018,2018,2018,4,Re-Export,96,Brunei Darussalam,BRN,0,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,,333795,333795,59373
H5,2018,2018,2018,6,Export,96,Brunei Darussalam,BRN,0,391520,"Styrene polymers; waste, parings and scrap",8,Weight in kilograms,,30000,30000,5927
H5,2018,2018,2018,6,Re-Export,96,Brunei Darussalam,BRN,0,391520,"Styrene polymers; waste, parings and scrap",8,Weight in kilograms,,30000,30000,5927
H5,2018,2018,2018,6,Import,96,Brunei Darussalam,BRN,0,391530,"Vinyl chloride polymers; waste, parings and scrap",8,Weight in kilograms,,220,220,23614
H5,2018,2018,2018,6,Import,96,Brunei Darussalam,BRN,0,391590,"Plastics n.e.c. in heading no. 3915; waste, parings and scrap",8,Weight in kilograms,,124542,124542,238111
H5,2018,2018,2018,6,Export,96,Brunei Darussalam,BRN,0,391590,"Plastics n.e.c. in heading no. 3915; waste, parings and scrap",8,Weight in kilograms,,325795,325795,63597
H5,2018,2018,2018,6,Re-Export,96,Brunei Darussalam,BRN,0,391590,"Plastics n.e.c. in heading no. 3915; waste, parings and scrap",8,Weight in kilograms,,303795,303795,53445
H5,2018,2018,2018,4,Import,112,Belarus,BLR,0,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,,4943936,4943936,2987100
H5,2018,2018,2018,4,Export,112,Belarus,BLR,0,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,,9387228,9387228,4080800
H5,2018,2018,2018,6,Import,112,Belarus,BLR,0,391510,"Ethylene polymers; waste, parings and scrap",8,Weight in kilograms,,2096854,2096854,917800
H5,2018,2018,2018,6,Export,112,Belarus,BLR,0,391510,"Ethylene polymers; waste, parings and scrap",8,Weight in kilograms,,6179203,6179203,2609200
H5,2018,2018,2018,6,Import,112,Belarus,BLR,0,391520,"Styrene polymers; waste, parings and scrap",8,Weight in kilograms,,929788,929788,1152500
H5,2018,2018,2018,6,Export,112,Belarus,BLR,0,391520,"Styrene polymers; waste, parings and scrap",8,Weight in kilograms,,648775,648775,392400
H5,2018,2018,2018,6,Import,112,Belarus,BLR,0,391530,"Vinyl chloride polymers; waste, parings and scrap",8,Weight in kilograms,,1080020,1080020,584900
H5,2018,2018,2018,6,Export,112,Belarus,BLR,0,391530,"Vinyl chloride polymers; waste, parings and scrap",8,Weight in kilograms,,546603,546603,237500
H5,2018,2018,2018,6,Import,112,Belarus,BLR,0,391590,"Plastics n.e.c. in heading no. 3915; waste, parings and scrap",8,Weight in kilograms,,837274,837274,331900
H5,2018,2018,2018,6,Export,112,Belarus,BLR,0,391590,"Plastics n.e.c. in heading no. 3915; waste, parings and scrap",8,Weight in kilograms,,2012647,2012647,841700
H5,2018,2018,2018,4,Import,124,Canada,CAN,0,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,,140933420,140933420,73526049
H5,2018,2018,2018,4,Export,124,Canada,CAN,0,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,,158039164,158039164,71429691
H5,2018,2018,2018,4,Re-Export,124,Canada,CAN,0,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,,876186,876186,675440
H5,2018,2018,2018,4,Re-Import,124,Canada,CAN,0,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,,313123,313123,85677
H5,2018,2018,2018,6,Import,124,Canada,CAN,0,391510,"Ethylene polymers; waste, parings and scrap",8,Weight in kilograms,,31479196,31479196,14373294
H5,2018,2018,2018,6,Export,124,Canada,CAN,0,391510,"Ethylene polymers; waste, parings and scrap",8,Weight in kilograms,,44857694,44857694,21239691
H5,2018,2018,2018,6,Re-Export,124,Canada,CAN,0,391510,"Ethylene polymers; waste, parings and scrap",8,Weight in kilograms,,49320,49320,112608
