,Country,%Managed_plastic_waste_kg/day,%Mismanaged_plastic_waste_kg/day
122,Netherlands Antilles,0.9800024558387567,0.019997544161243355
123,New Caledonia,0.9800064893929328,0.019993510607067257
124,New Zealand,0.9800000943391777,0.019999905660822354
125,Nicaragua,0.533817506006805,0.466182493993195
126,Nigeria,0.17011069900670425,0.8298893009932957
127,Niue,0.9778270509977827,0.022172949002217297
128,Norfolk Island,0.1583710407239819,0.8416289592760181
129,Northern Mariana Islands,0.9775360960060003,0.022463903993999626
130,Norway,0.9799997567514503,0.02000024324854963
131,Oman,0.9412663494196589,0.058733650580341114
132,Pakistan,0.11756748694703806,0.882432513052962
133,Palau,0.4164187983343248,0.5835812016656752
134,Palestine (Gaza Strip is only part on the coast),0.9197937853255044,0.08020621467449557
135,Panama,0.7994917699939983,0.2005082300060017
136,Papua New Guinea,0.1243756314838269,0.8756243685161731
137,Peru,0.7301163938179969,0.26988360618200313
138,Philippines,0.1726521177115816,0.8273478822884184
139,Poland,0.8635836134187329,0.13641638658126704
140,Portugal,0.9800000623078747,0.01999993769212522
141,Puerto Rico,0.9575686428210435,0.04243135717895657
142,Qatar,0.9799973021409438,0.020002697859056135
143,Reunion,0.9800037907505686,0.019996209249431386
144,Romania,0.7248831775700935,0.27511682242990654
145,Russia,0.8158708310482827,0.18412916895171727
146,Saint Helena,0.7308868501529052,0.2691131498470948
147,Saint Kitts and Nevis,0.91668084382443,0.08331915617556993
148,Saint Lucia,0.7833798866221169,0.21662011337788306
149,"Saint Maarten, DWI",0.9796657085063345,0.020334291493665495
150,Saint Pierre,0.979702300405954,0.02029769959404601
151,Saint Vincent and the Grenadines,0.7674946126800499,0.2325053873199501
152,Samoa,0.18371146015125073,0.8162885398487493
153,Sao Tome and Principe,0.16888543967524328,0.8311145603247567
154,Saudi Arabia,0.8991358648337829,0.10086413516621705
155,Senegal,0.16028439610940348,0.8397156038905965
156,Seychelles,0.6110035346549869,0.3889964653450131
157,Sierra Leone,0.14213717480111804,0.8578628251988819
158,Singapore,0.979546610770734,0.020453389229265997
159,Slovenia,0.968707622765564,0.031292377234435995
160,Solomon Islands,0.11723070117230701,0.882769298827693
161,Somalia,0.13249878372815388,0.8675012162718461
162,South Africa,0.4401261925019519,0.5598738074980482
163,Spain,0.9800000732347286,0.019999926765271393
164,Sri Lanka,0.15575976787138032,0.8442402321286196
165,Sudan,0.18405704859261954,0.8159429514073805
166,Suriname,0.8347864659813999,0.1652135340186001
167,Svalbard,0.9780701754385965,0.021929824561403508
168,Sweden,0.9799983026393957,0.02000169736060426
169,Syria,0.3267708999575161,0.6732291000424838
170,Taiwan,0.9775284970756153,0.022471502924384726
171,Tanzania,0.14477725094123844,0.8552227490587615
172,Thailand,0.24605007724995515,0.7539499227500448
173,The Gambia,0.1444423217754004,0.8555576782245996
174,Togo,0.1447479806708758,0.8552520193291242
175,Tokelau,0.15602836879432624,0.8439716312056738
176,Tonga,0.2008102871234807,0.7991897128765193
177,Trinidad and Tobago,0.9471958034478704,0.05280419655212969
178,Tunisia,0.38465977333879076,0.6153402266612092
179,Turkey,0.815107152538908,0.184892847461092
180,Turks and Caicos Islands,0.9761652542372882,0.023834745762711863
181,Tuvalu,0.24547647768395658,0.7545235223160435
182,Ukraine,0.4938456174684318,0.5061543825315682
183,United Arab Emirates,0.9793616420769736,0.020638357923026394
184,United Kingdom,0.9799999848702511,0.020000015129748944
185,United States,0.9799999909884559,0.020000009011544133
186,Uruguay,0.9032684854210912,0.09673151457890884
187,USVI,0.9796627278665162,0.02033727213348376
188,Vanuatu,0.16704313364803267,0.8329568663519673
189,Venezuela,0.9305857815793657,0.06941421842063435
190,Vietnam,0.12081662022987524,0.8791833797701247
191,Yemen,0.25099420685643187,0.7490057931435682
