,Country,Mismanaged_plastic_waste_kg/person/day,Mismanaged_plastic_waste_lb/person/day,Mismanaged_plastic_waste_lb/person/day_to_ocean
179,Turkey,0.04,0.09,0.02
180,Turks and Caicos Islands,0.01,0.02,0.0
181,Tuvalu,0.11,0.24,0.06
182,Ukraine,0.05,0.11,0.03
183,United Arab Emirates,0.00,0.0,0.0
184,United Kingdom,0.00,0.0,0.0
185,United States,0.01,0.02,0.0
186,Uruguay,0.02,0.04,0.01
187,USVI,0.01,0.02,0.0
188,Vanuatu,0.25,0.55,0.14
189,Venezuela,0.02,0.04,0.01
190,Vietnam,0.09,0.2,0.05
191,Yemen,0.08,0.18,0.04
