,Country,Mismanaged_plastic_waste_in_2010_tonnes,Mismanaged_plastic_waste_in_2025_tonnes,%_Change_2010_to_2025
119,Namibia,5480.0,11340.0,1.0693430656934306
120,Nauru,554.0,1043.0,0.8826714801444043
121,Netherlands,27700.0,32387.0,0.1692057761732852
122,Netherlands Antilles,416.0,368.0,-0.11538461538461539
123,New Caledonia,472.0,702.0,0.4872881355932203
124,New Zealand,9286.0,11517.0,0.24025414602627612
125,Nicaragua,84415.0,169439.0,1.0072143576378605
126,Nigeria,851493.0,2481008.0,1.9137150863248436
127,Niue,4.0,5.0,0.25
128,Norfolk Island,68.0,156.0,1.2941176470588236
129,Northern Mariana Islands,219.0,309.0,0.410958904109589
130,Norway,8403.0,9798.0,0.16601213852195645
131,Oman,4658.0,11774.0,1.52769428939459
132,Pakistan,480493.0,1221460.0,1.5420973874749475
133,Palau,716.0,1350.0,0.8854748603351955
134,Palestine (Gaza Strip is only part on the coast),5599.0,18676.0,2.3355956420789425
135,Panama,34388.0,70759.0,1.0576654646969874
136,Papua New Guinea,89835.0,242328.0,1.697478710970112
137,Peru,194453.0,377111.0,0.9393426689225675
138,Philippines,1883659.0,5088394.0,1.7013350080879819
139,Poland,15703.0,26855.0,0.7101827676240209
140,Portugal,16402.0,19382.0,0.18168516034629922
141,Puerto Rico,16517.0,20481.0,0.23999515650541867
142,Qatar,758.0,1560.0,1.0580474934036939
143,Reunion,847.0,1615.0,0.9067296340023613
144,Romania,3610.0,8261.0,1.2883656509695292
145,Russia,80759.0,128946.0,0.596676531408264
146,Saint Helena,96.0,182.0,0.8958333333333334
147,Saint Kitts and Nevis,715.0,742.0,0.03776223776223776
148,Saint Lucia,6709.0,8610.0,0.2833507229095245
149,"Saint Maarten, DWI",70.0,98.0,0.4
150,Saint Pierre,11.0,15.0,0.36363636363636365
151,Saint Vincent and the Grenadines,2245.0,2996.0,0.33452115812917593
152,Samoa,5122.0,10989.0,1.145450995704803
153,Sao Tome and Principe,5081.0,13309.0,1.6193662664829758
154,Saudi Arabia,20552.0,43855.0,1.1338555858310626
155,Senegal,254770.0,738264.0,1.8977666130235114
156,Seychelles,4619.0,5478.0,0.18597098939164322
157,Sierra Leone,36408.0,121312.0,2.3320149417710394
158,Singapore,6472.0,10878.0,0.680778739184178
159,Slovenia,556.0,985.0,0.7715827338129496
160,Solomon Islands,20394.0,176589.0,7.658870255957635
161,Somalia,101531.0,289601.0,1.8523406644276132
162,South Africa,630005.0,836279.0,0.327416449075801
163,Spain,45853.0,58932.0,0.28523760713584717
164,Sri Lanka,1591179.0,1918670.0,0.2058165674634972
165,Sudan,22928.0,52061.0,1.2706297976273553
166,Suriname,3942.0,6394.0,0.6220192795535261
167,Svalbard,2.0,4.0,1.0
168,Sweden,2150.0,5245.0,1.4395348837209303
169,Syria,157904.0,304960.0,0.9313000303982166
170,Taiwan,45718.0,64631.0,0.4136882628286452
171,Tanzania,48586.0,214196.0,3.408595068538262
172,Thailand,1027739.0,2179508.0,1.120682391151839
173,The Gambia,19616.0,53498.0,1.7272634584013051
174,Togo,35401.0,96994.0,1.7398661054772464
175,Tokelau,43.0,100.0,1.3255813953488371
176,Tonga,6624.0,10272.0,0.5507246376811594
177,Trinidad and Tobago,94066.0,73512.0,-0.21850615525269493
178,Tunisia,234309.0,440701.0,0.880853915129167
179,Turkey,485937.0,790235.0,0.6262087472244344
180,Turks and Caicos Islands,49.0,70.0,0.42857142857142855
181,Tuvalu,457.0,861.0,0.8840262582056893
182,Ukraine,128765.0,233388.0,0.8125111637479129
183,United Arab Emirates,3016.0,5910.0,0.9595490716180372
184,United Kingdom,67549.0,94165.0,0.39402507809145954
185,United States,275424.0,336819.0,0.2229108574416173
186,Uruguay,21562.0,8037.0,-0.627260921992394
187,USVI,250.0,296.0,0.184
188,Vanuatu,22478.0,38006.0,0.6908087908176884
189,Venezuela,102333.0,154243.0,0.5072654959788143
190,Vietnam,1833819.0,4172828.0,1.2754852032834212
191,Yemen,169181.0,513907.0,2.037616517221201
