,Country,Plastic_waste_generation_kg/day,Managed_plastic_waste_kg/day,Mismanaged_plastic_waste_kg/day
135,Panama,469866.0,375654.0,94212.0
136,Papua New Guinea,281084.0,34960.0,246124.0
137,Peru,1973988.0,1441241.0,532747.0
138,Philippines,6237653.0,1076944.0,5160709.0
139,Poland,315380.0,272357.0,43023.0
140,Portugal,2246907.0,2201969.0,44938.0
141,Puerto Rico,1066499.0,1021246.0,45253.0
142,Qatar,103786.0,101710.0,2076.0
143,Reunion,116072.0,113751.0,2321.0
144,Romania,35952.0,26061.0,9891.0
145,Russia,1201651.0,980392.0,221259.0
146,Saint Helena,981.0,717.0,264.0
147,Saint Kitts and Nevis,23512.0,21553.0,1959.0
148,Saint Lucia,84849.0,66469.0,18380.0
149,"Saint Maarten, DWI",9393.0,9202.0,191.0
150,Saint Pierre,1478.0,1448.0,30.0
151,Saint Vincent and the Grenadines,26451.0,20301.0,6150.0
152,Samoa,17190.0,3158.0,14032.0
153,Sao Tome and Principe,16751.0,2829.0,13922.0
154,Saudi Arabia,558246.0,501939.0,56307.0
155,Senegal,831235.0,133234.0,698001.0
156,Seychelles,32535.0,19879.0,12656.0
157,Sierra Leone,116275.0,16527.0,99748.0
158,Singapore,866849.0,849119.0,17730.0
159,Slovenia,48670.0,47147.0,1523.0
160,Solomon Islands,63294.0,7420.0,55874.0
161,Somalia,320652.0,42486.0,278166.0
162,South Africa,3082909.0,1356869.0,1726040.0
163,Spain,6281173.0,6155550.0,125623.0
164,Sri Lanka,5163689.0,804295.0,4359394.0
165,Sudan,76987.0,14170.0,62817.0
166,Suriname,65376.0,54575.0,10801.0
167,Svalbard,228.0,223.0,5.0
168,Sweden,294575.0,288683.0,5892.0
169,Syria,642597.0,209982.0,432615.0
170,Taiwan,5573993.0,5448737.0,125256.0
171,Tanzania,155646.0,22534.0,133112.0
172,Thailand,3734630.0,918906.0,2815724.0
173,The Gambia,62814.0,9073.0,53741.0
174,Togo,113404.0,16415.0,96989.0
175,Tokelau,141.0,22.0,119.0
176,Tonga,22708.0,4560.0,18148.0
177,Trinidad and Tobago,4880578.0,4622863.0,257715.0
178,Tunisia,1043231.0,401289.0,641942.0
179,Turkey,7200576.0,5869241.0,1331335.0
180,Turks and Caicos Islands,5664.0,5529.0,135.0
181,Tuvalu,1658.0,407.0,1251.0
182,Ukraine,696983.0,344202.0,352781.0
183,United Arab Emirates,400371.0,392108.0,8263.0
184,United Kingdom,9253293.0,9068227.0,185066.0
185,United States,37729383.0,36974795.0,754588.0
186,Uruguay,610711.0,551636.0,59075.0
187,USVI,33682.0,32997.0,685.0
188,Vanuatu,73933.0,12350.0,61583.0
189,Venezuela,4039014.0,3758649.0,280365.0
190,Vietnam,5714578.0,690416.0,5024162.0
191,Yemen,618835.0,155324.0,463511.0
